"date";"lead_name";"business";"area";"phone_or_link";"channel";"status";"next_action";"next_date";"notes";"lead_id"
"2026-03-05";"Aasa Cargo";"Aasa Cargo";"Ajman";"+97167441454";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aasa-cargo-169361";"UAE0155"
"2026-03-05";"AASH Rubber Industries LLC";"AASH Rubber Industries LLC";"Ajman";"+971526904716";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aash-rubber-industries-llc-192975";"UAE0156"
"2026-03-05";"AASH Rubber Industries LLC";"AASH Rubber Industries LLC";"Ajman";"+97167486828";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aash-rubber-industries-llc-192975";"UAE0157"
"2026-03-05";"Aatif Ali Building Materials Trading LLC";"Aatif Ali Building Materials Trading LLC";"Ajman";"+971523803022";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aatif-ali-building-materials-trading-llc-195263";"UAE0158"
"2026-03-05";"Aatif Ali Building Materials Trading LLC";"Aatif Ali Building Materials Trading LLC";"Ajman";"+97167155790";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aatif-ali-building-materials-trading-llc-195263";"UAE0159"
"2026-03-05";"Aatish General Trading FZE";"Aatish General Trading FZE";"Ajman";"+971503065100";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aatish-general-trading-fze-176080";"UAE0160"
"2026-03-05";"Aatish General Trading FZE";"Aatish General Trading FZE";"Ajman";"+97165357867";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aatish-general-trading-fze-176080";"UAE0161"
"2026-03-05";"Abalone Fish Processing LLC";"Abalone Fish Processing LLC";"Ajman";"+97167438606";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abalone-fish-processing-llc-169387";"UAE0162"
"2026-03-05";"Abdul Ahmed Real Estate Office";"Abdul Ahmed Real Estate Office";"Ajman";"+97167466015";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-ahmed-real-estate-office-172400";"UAE0163"
"2026-03-05";"Abdul Azeem Aluminium and Glass Works";"Abdul Azeem Aluminium and Glass Works";"Ajman";"+97168827869";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-azeem-aluminium-and-glass-works-145905";"UAE0164"
"2026-03-05";"Abdul Aziz Elec Trading and Cont LLC";"Abdul Aziz Elec Trading and Cont LLC";"Ajman";"+97167422558";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-aziz-elec-trading-and-cont-llc-121865";"UAE0165"
"2026-03-05";"Abdul Aziz Medical Center";"Abdul Aziz Medical Center";"Ajman";"+971543358211";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-aziz-medical-center-177111";"UAE0166"
"2026-03-05";"Abdul Aziz Medical Center";"Abdul Aziz Medical Center";"Ajman";"+97167310722";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-aziz-medical-center-177111";"UAE0167"
"2026-03-05";"Abdul Basit Elect and Sanitary Tools Trading";"Abdul Basit Elect and Sanitary Tools Trading";"Ajman";"+97167432699";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-basit-elect-and-sanitary-tools-trading-139327";"UAE0168"
"2026-03-05";"Abdul Gafoor Carpentry";"Abdul Gafoor Carpentry";"Ajman";"+971554914907";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-gafoor-carpentry-180574";"UAE0169"
"2026-03-05";"Abdul Gafoor Carpentry";"Abdul Gafoor Carpentry";"Ajman";"+971559229505";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-gafoor-carpentry-180574";"UAE0170"
"2026-03-05";"Abdul Hadi Steel &amp; Aluminum Co. LLC";"Abdul Hadi Steel &amp; Aluminum Co. LLC";"Ajman";"+971559615858";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-hadi-steel-aluminum-co-llc-136292";"UAE0171"
"2026-03-05";"Abdul Hadi Steel &amp; Aluminum Co. LLC";"Abdul Hadi Steel &amp; Aluminum Co. LLC";"Ajman";"+97167430277";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-hadi-steel-aluminum-co-llc-136292";"UAE0172"
"2026-03-05";"Abdul Jalil Steel Workshop";"Abdul Jalil Steel Workshop";"Ajman";"+971562905954";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abdul-jalil-steel-workshop-146123";"UAE0173"
"2026-03-05";"Abdul Jalil Steel Workshop";"Abdul Jalil Steel Workshop";"Ajman";"+97165527513";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-jalil-steel-workshop-146123";"UAE0174"
"2026-03-05";"Abdul Naser Building Material Trading";"Abdul Naser Building Material Trading";"Ajman";"+97167441466";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-naser-building-material-trading-126823";"UAE0175"
"2026-03-05";"Abdul Nasser Building Materials Trading";"Abdul Nasser Building Materials Trading";"Ajman";"+97167422404";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-nasser-building-materials-trading-169384";"UAE0176"
"2026-03-05";"Abdul Razzaq Mohiddin Abdulla Trading Establishment";"Abdul Razzaq Mohiddin Abdulla Trading Establishment";"Ajman";"+97167444109";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-razzaq-mohiddin-abdulla-trading-establishment-181957";"UAE0177"
"2026-03-05";"D S S Steel LLC";"D S S Steel LLC";"Ajman";"+97167480078";"WhatsApp";"NEW";"Review and send compliant outreach";"2026-03-05";"YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-n-a-steel-trading-llc-127610";"UAE0178"
