"date","lead_name","business","area","phone_or_link","channel","status","next_action","next_date","notes","lead_id"
"2026-03-05","1 Dirham Home Insulation","1 Dirham Home Insulation","Dubai","+97142975755","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/1-dirham-home-insulation-183247","UAE0193"
"2026-03-05","2000 Screen Electronics LLC","2000 Screen Electronics LLC","Dubai","+97142291650","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/2000-screen-electronics-llc-119692","UAE0219"
"2026-03-05","2003 Aluminium Works and Carpentry LLC","2003 Aluminium Works and Carpentry LLC","Dubai","+971585882003","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/2003-aluminium-works-and-carpentry-llc-132622","UAE0220"
"2026-03-05","2003 Aluminium Works and Carpentry LLC","2003 Aluminium Works and Carpentry LLC","Dubai","+971585992003","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/2003-aluminium-works-and-carpentry-llc-132622","UAE0221"
"2026-03-05","21 Century Passengers Transport LLC","21 Century Passengers Transport LLC","Dubai","+97143466101","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/21-century-passengers-transport-llc-179061","UAE0222"
"2026-03-05","21 Century Passengers Transport LLC","21 Century Passengers Transport LLC","Dubai","+971557970508","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/21-century-passengers-transport-llc-179061","UAE0223"
"2026-03-05","21 Grams Urban Balkan Bistro","21 Grams Urban Balkan Bistro","Dubai","+97143490744","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/21-grams-urban-balkan-bistro-174119","UAE0224"
"2026-03-05","21st Century Properties","21st Century Properties","Dubai","+97144541082","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/21st-century-properties-172347","UAE0225"
"2026-03-05","22 Movers","22 Movers","Dubai","+971555158001","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/22-movers-172984","UAE0226"
"2026-03-05","24 A Plus Consultants FZE","24 A Plus Consultants FZE","Dubai","+97143585133","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/24-a-plus-consultants-fze-169974","UAE0227"
"2026-03-05","24 Group FZ LLC","24 Group FZ LLC","Dubai","+97144380310","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/24-group-fz-llc-133669","UAE0228"
"2026-03-05","24 Hour Batteries Services","24 Hour Batteries Services","Dubai","+971504048070","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/24-hour-batteries-services-192163","UAE0229"
"2026-03-05","24 Hour Batteries Services","24 Hour Batteries Services","Dubai","+971800244687","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/24-hour-batteries-services-192163","UAE0230"
"2026-03-05","24 Seven Real Estate Brokers","24 Seven Real Estate Brokers","Dubai","+97143453727","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/24-seven-real-estate-brokers-172348","UAE0231"
"2026-03-05","24/7 Group","24/7 Group","Dubai","+97144504821","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/24-7-group-170097","UAE0232"
"2026-03-05","24h.ae Online Food Delivery Services","24h.ae Online Food Delivery Services","Dubai","+97144572307","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/24h-ae-online-food-delivery-services-148551","UAE0233"
"2026-03-05","24Seven Home Care LLC","24Seven Home Care LLC","Dubai","+97142522438","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/24seven-home-care-llc-188442","UAE0234"
"2026-03-05","24Seven Home Care LLC","24Seven Home Care LLC","Dubai","+971508988247","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/24seven-home-care-llc-188442","UAE0235"
"2026-03-05","25 Degree North Businessmen Services","25 Degree North Businessmen Services","Dubai","+97142672848","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/25-degree-north-businessmen-services-160819","UAE0236"
"2026-03-05","25 Degrees North","25 Degrees North","Dubai","+97144527779","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/25-degrees-north-152134","UAE0237"
"2026-03-05","2A IT Services DMCC","2A IT Services DMCC","Dubai","+97144305054","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/2a-it-services-dmcc-163002","UAE0238"
"2026-03-05","3 B United Advertising LLC","3 B United Advertising LLC","Dubai","+97142655561","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3-b-united-advertising-llc-118480","UAE0239"
"2026-03-05","3 Fils","3 Fils","Dubai","+971562730030","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/3-fils-174471","UAE0240"
"2026-03-05","3 G Electronics Gen Trdg LLC","3 G Electronics Gen Trdg LLC","Dubai","+97142221797","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3-g-electronics-gen-trdg-llc-144752","UAE0241"
"2026-03-05","3 S Group","3 S Group","Dubai","+97143384447","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3-s-group-152119","UAE0242"
"2026-03-05","311 Entertainment","311 Entertainment","Dubai","+97143274483","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/311-entertainment-168855","UAE0243"
"2026-03-05","32 Care Green Pharmacy LLC","32 Care Green Pharmacy LLC","Dubai","+97142977322","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/32-care-green-pharmacy-llc-170973","UAE0244"
"2026-03-05","32 Care Pharmacy LLC","32 Care Pharmacy LLC","Dubai","+97143606663","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/32-care-pharmacy-llc-170974","UAE0245"
"2026-03-05","32 Care White Pharmacy","32 Care White Pharmacy","Dubai","+97143237432","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/32-care-white-pharmacy-170975","UAE0246"
"2026-03-05","32 Marina Street Kitchen","32 Marina Street Kitchen","Dubai","+97144259999","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/32-marina-street-kitchen-152001","UAE0247"
"2026-03-05","360 Business Solutions","360 Business Solutions","Dubai","+971585850360","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/360-business-solutions-180015","UAE0248"
"2026-03-05","360 Business Solutions","360 Business Solutions","Dubai","+971585851360","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/360-business-solutions-180015","UAE0249"
"2026-03-05","360 Degree Jumeirah Beach Hotel","360 Degree Jumeirah Beach Hotel","Dubai","+97145509288","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/360-degree-jumeirah-beach-hotel-173870","UAE0250"
"2026-03-05","360 INC","360 INC","Dubai","+97143873522","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/360-inc-173494","UAE0251"
"2026-03-05","360 INC","360 INC","Dubai","+971552198410","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/360-inc-173494","UAE0252"
"2026-03-05","360 Wellness","360 Wellness","Dubai","+97143332175","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/360-wellness-141786","UAE0253"
"2026-03-05","360 Wellness","360 Wellness","Dubai","+971553332175","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/360-wellness-141786","UAE0254"
"2026-03-05","365 Restaurant","365 Restaurant","Dubai","+97142393038","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/365-restaurant-174091","UAE0255"
"2026-03-05","365 Restaurant","365 Restaurant","Dubai","+97142892164","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/365-restaurant-174091","UAE0256"
"2026-03-05","365 Restaurant","365 Restaurant","Dubai","+97143345866","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/365-restaurant-174093","UAE0257"
"2026-03-05","365 Restaurant","365 Restaurant","Dubai","+97143347674","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/365-restaurant-174093","UAE0258"
"2026-03-05","365 Restaurant","365 Restaurant","Dubai","+97143493365","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/365-restaurant-174092","UAE0259"
"2026-03-05","365 Restaurant","365 Restaurant","Dubai","+97143496365","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/365-restaurant-174092","UAE0260"
"2026-03-05","369 Pest Control and Disinfection Services LLC","369 Pest Control and Disinfection Services LLC","Dubai","+971563509559","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/369-pest-control-and-disinfection-services-194402","UAE0261"
"2026-03-05","3D Constraction LLC","3D Constraction LLC","Dubai","+97142990922","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3d-constraction-llc-176808","UAE0262"
"2026-03-05","3D Constraction LLC","3D Constraction LLC","Dubai","+971521675135","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/3d-constraction-llc-176808","UAE0263"
"2026-03-05","3D Manzil","3D Manzil","Dubai","+971561765970","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/3d-manzil-181810","UAE0264"
"2026-03-05","3D Me Photo Solutions","3D Me Photo Solutions","Dubai","+97143313392","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3d-me-photo-solutions-152796","UAE0265"
"2026-03-05","3Dimension Contracting And Decor","3Dimension Contracting And Decor","Dubai","+97143291721","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3dimension-contracting-and-decor-183246","UAE0266"
"2026-03-05","3Dimension Contracting And Decor","3Dimension Contracting And Decor","Dubai","+971506610477","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/3dimension-contracting-and-decor-183246","UAE0267"
"2026-03-05","3Fold Training","3Fold Training","Dubai","+97145776146","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3fold-training-160263","UAE0268"
"2026-03-05","3Fold Training","3Fold Training","Dubai","+971504819989","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/3fold-training-160263","UAE0269"
"2026-03-05","3G Real Estate","3G Real Estate","Dubai","+97144472272","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3g-real-estate-172349","UAE0270"
"2026-03-05","3Gmet Technology Information","3Gmet Technology Information","Dubai","+97142951757","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3gmet-technology-information-158431","UAE0271"
"2026-03-05","3Gmet Technology Information","3Gmet Technology Information","Dubai","+971524581403","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/3gmet-technology-information-158431","UAE0272"
"2026-03-05","3M Gulf Limited","3M Gulf Limited","Dubai","+97143670777","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3m-gulf-limited-105239","UAE0273"
"2026-03-05","3M Stamps And Printing Services","3M Stamps And Printing Services","Dubai","+97142950607","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3m-stamps-and-printing-services-170098","UAE0274"
"2026-03-05","3M Stamps And Printing Services","3M Stamps And Printing Services","Dubai","+971559318838","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/3m-stamps-and-printing-services-170098","UAE0275"
"2026-03-05","3NPower","3NPower","Dubai","+971508112009","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/3npower-169768","UAE0276"
"2026-03-05","3rd Avenue Cafe","3rd Avenue Cafe","Dubai","+97143882622","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3rd-avenue-cafe-173871","UAE0277"
"2026-03-05","3RS Gen Trdg LLC","3RS Gen Trdg LLC","Dubai","+97142672933","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3rs-gen-trdg-llc-156628","UAE0278"
"2026-03-05","3s Real Estate","3s Real Estate","Dubai","+97145786173","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3s-real-estate-193649","UAE0279"
"2026-03-05","3SC World FZ LLC","3SC World FZ LLC","Dubai","+97144529600","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3sc-world-fz-llc-157272","UAE0280"
"2026-03-05","3SCube Engineering Consultants","3SCube Engineering Consultants","Dubai","+971543943303","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/3scube-engineering-consultants-190880","UAE0281"
"2026-03-05","4 Color Digital Printing Co","4 Color Digital Printing Co","Dubai","+97142660666","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4-color-digital-printing-co-39956","UAE0282"
"2026-03-05","4 Direction Real Estate Broker","4 Direction Real Estate Broker","Dubai","+97143979739","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4-direction-real-estate-broker-172350","UAE0283"
"2026-03-05","4 Direction Real Estate Broker","4 Direction Real Estate Broker","Dubai","+97143999808","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4-direction-real-estate-broker-172350","UAE0284"
"2026-03-05","4 G Com General Trading LLC","4 G Com General Trading LLC","Dubai","+97142285002","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4-g-com-general-trading-llc-156044","UAE0285"
"2026-03-05","4 Guys","4 Guys","Dubai","+97144357377","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4-guys-147691","UAE0286"
"2026-03-05","4 M Building Materials Trading LLC","4 M Building Materials Trading LLC","Dubai","+97143236103","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4-m-building-materials-trading-llc-162438","UAE0287"
"2026-03-05","4 M Building Materials Trading LLC","4 M Building Materials Trading LLC","Dubai","+971558797149","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/4-m-building-materials-trading-llc-162438","UAE0288"
"2026-03-05","4 S International LLC","4 S International LLC","Dubai","+97143400780","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4-s-international-llc-146971","UAE0289"
"2026-03-05","4 Seas Gen Trdg","4 Seas Gen Trdg","Dubai","+97142655755","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4-seas-gen-trdg-152281","UAE0290"
"2026-03-05","4 Seasons Entertainment and Events","4 Seasons Entertainment and Events","Dubai","+97142581948","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4-seasons-entertainment-and-events-122674","UAE0291"
"2026-03-05","4 Star Auto Trading FZC","4 Star Auto Trading FZC","Dubai","+97143335102","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4-star-auto-trading-fzc-149062","UAE0292"
"2026-03-05","4 U General Trdg LLC","4 U General Trdg LLC","Dubai","+97142381832","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4-u-general-trdg-llc-152306","UAE0293"
"2026-03-05","4 U Real Estate","4 U Real Estate","Dubai","+97143534118","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4-u-real-estate-172352","UAE0294"
"2026-03-05","4 Walls Technical Services Contracting LLC","4 Walls Technical Services Contracting LLC","Dubai","+971552264892","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/4-walls-technical-services-contracting-llc-181003","UAE0295"
"2026-03-05","4 X Force Motors LLC","4 X Force Motors LLC","Dubai","+97143395506","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4-x-force-motors-llc-152481","UAE0296"
"2026-03-05","4c Mortgage Consultancy","4c Mortgage Consultancy","Dubai","+97142278266","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4c-mortgage-consultancy-172354","UAE0297"
"2026-03-05","4ever properties International Dubai","4ever properties International Dubai","Dubai","+97142349987","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4ever-properties-international-dubai-124699","UAE0298"
"2026-03-05","4i Apps Solutions FZC","4i Apps Solutions FZC","Dubai","+97142690072","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4i-apps-solutions-fzc-162929","UAE0299"
"2026-03-05","4S Study Abroad Education Services","4S Study Abroad Education Services","Dubai","+97145538909","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4s-study-abroad-education-services-158756","UAE0300"
"2026-03-05","4S Study Abroad Education Services","4S Study Abroad Education Services","Dubai","+971564468253","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/4s-study-abroad-education-services-158756","UAE0301"
"2026-03-05","5 G General Trading LLC","5 G General Trading LLC","Dubai","+97142505955","WhatsApp","NEW","Review and send compliant outreach","2026-03-05","YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/5-g-general-trading-llc-158972","UAE0302"
